episode, step
1,1
1,3
1,504
1,636
1,780
1,909
1,1086
1,1216
1,1343
1,1476
1,3878
1,4001
1,4128
1,4832
1,4980
2,5765
2,7289
2,7741
2,7876
2,8017
2,9358
2,9495
3,10599
3,11006
3,11680
3,11813
3,12065
3,12196
3,12358
3,12487
3,12635
3,12765
3,12957
3,13090
3,13394
3,13551
3,13679
4,16229
4,16357
4,17886
4,18021
4,18777
4,19317
4,19447
4,19586
4,19699
5,20742
5,20933
5,21123
5,21306
5,22623
5,23541
5,23678
5,24859
6,26839
6,26972
6,27546
6,27677
6,27857
6,27983
6,28813
7,30561
7,31128
7,31260
7,31389
7,31515
7,31641
7,31859
7,32940
7,33074
7,33857
8,35025
8,35160
8,36031
8,36363
8,36499
8,36632
8,37860
8,37994
8,38122
8,38258
8,38395
8,38523
8,38896
8,39200
9,40028
9,40162
9,40289
9,40416
9,40564
9,40690
9,41936
9,44289
9,44425
9,44566
9,44703
9,44864
11,50261
11,50396
11,51343
11,51895
11,52027
11,52171
11,52301
11,52426
11,53424
11,53682
11,53819
11,54278
11,54416
11,54948
12,55179
12,55312
12,55668
12,55937
12,57070
12,57202
12,58045
12,58721
12,58856
12,58985
12,59113
12,59240
12,59729
12,59910
13,60127
13,60691
13,60819
13,60947
13,61081
13,61210
13,61331
13,61466
13,62953
13,63250
13,63382
13,63930
13,64071
13,64203
13,64330
13,64458
13,64580
13,64708
13,64831
13,64956
14,65005
14,65127
14,65253
14,65382
14,65973
14,66104
14,66235
14,66357
14,66486
14,66657
14,67075
14,67206
14,67347
14,67484
14,67623
14,68108
14,68403
14,68537
15,71660
15,71797
15,72437
15,72603
15,72766
15,72901
15,73429
15,73569
16,76113
16,76247
16,79102
16,79233
17,80598
17,80744
17,80913
17,81043
17,81168
17,81297
17,81433
17,81562
17,81723
17,81849
17,82000
17,82123
17,82325
17,82459
18,82923
18,83275
18,83399
18,83536
18,84669
18,84817
18,84951
18,85569
18,85701
18,85827
18,86217
18,86476
18,86963
19,89353
19,89491
19,90148
19,91936
20,93282
20,93415
20,93545
20,93675
20,93931
20,94064
20,94831
20,94966
20,96247
20,96492
