episode_nr,time,action,velocity,lane,car1_f_dz,car1_f_dv,car1_b_dz,car1_b_dv,car2_f_dz,car2_f_dv,car2_b_dz,car2_b_dv,car3_f_dz,car3_f_dv,car3_b_dz,car3_b_dv,traffic_flow,weather
1,0.1,1,106,2,0.626,0.185,-0.501,0.247,0.303,-0.051,-0.975,0.287,0.275,-0.141,-0.185,-0.051,2500,mist
1,0.2,1,108,2,0.627,0.145,-0.5,0.203,0.303,-0.092,-0.973,0.247,0.274,-0.184,-0.186,-0.097,2500,mist
1,0.3,1,109,2,0.628,0.118,-0.499,0.176,0.302,-0.119,-0.972,0.22,0.273,-0.21,-0.186,-0.122,2500,mist
1,0.4,1,110,2,0.628,0.094,-0.498,0.153,0.301,-0.144,-0.971,0.196,0.272,-0.235,-0.187,-0.147,2500,mist
1,0.5,1,111,2,0.629,0.072,-0.497,0.132,0.301,-0.166,-0.97,0.175,0.271,-0.257,-0.188,-0.169,2500,mist
1,0.6,1,112,2,0.629,0.054,-0.497,0.113,0.3,-0.185,-0.969,0.156,0.269,-0.277,-0.189,-0.188,2500,mist
1,0.7,1,113,2,0.629,0.037,-0.496,0.096,0.299,-0.202,-0.968,0.14,0.267,-0.294,-0.19,-0.205,2500,mist
1,0.8,1,114,2,0.629,0.022,-0.496,0.082,0.297,-0.217,-0.967,0.125,0.266,-0.309,-0.191,-0.22,2500,mist
1,0.9,1,115,2,0.63,0.009,-0.495,0.069,0.296,-0.231,-0.967,0.112,0.264,-0.323,-0.192,-0.234,2500,mist
1,1,1,115,2,0.63,-0.002,-0.495,0.057,0.295,-0.242,-0.966,0.101,0.262,-0.335,-0.194,-0.246,2500,mist
1,1.1,1,116,2,0.629,-0.013,-0.495,0.047,0.293,-0.253,-0.965,0.091,0.26,-0.345,-0.195,-0.256,2500,mist
1,1.2,1,116,2,0.629,-0.022,-0.494,0.038,0.292,-0.262,-0.965,0.082,0.258,-0.355,-0.197,-0.265,2500,mist
1,1.3,1,117,2,0.629,-0.03,-0.494,0.03,0.29,-0.27,-0.965,0.074,0.256,-0.363,-0.198,-0.274,2500,mist
1,1.4,1,117,2,0.629,-0.037,-0.494,0.023,0.289,-0.277,-0.964,0.067,0.254,-0.37,-0.2,-0.281,2500,mist
1,1.5,1,117,2,0.629,-0.043,-0.494,0.017,0.287,-0.284,-0.964,0.061,0.252,-0.377,-0.201,-0.287,2500,mist
1,1.6,1,118,2,0.629,-0.048,-0.494,0.011,0.286,-0.289,-0.963,0.056,0.25,-0.382,-0.203,-0.293,2500,mist
