episode_nr,time,action,velocity,lane,car1_f_dz,car1_f_dv,car1_b_dz,car1_b_dv,car2_f_dz,car2_f_dv,car2_b_dz,car2_b_dv,car3_f_dz,car3_f_dv,car3_b_dz,car3_b_dv,traffic_flow,weather
1,0.1,1,111,2,1,0,-1,0,1,0,-1,0,0.565,0.187,-1,0,1500,sunset
1,0.2,2,112,2,1,0,-1,0,1,0,-1,0,0.566,0.152,-1,0,1500,sunset
1,0.3,2,113,2,1,0,-1,0,1,0,-1,0,0.567,0.137,-1,0,1500,sunset
1,0.4,2,113,2,1,0,-1,0,1,0,-1,0,0.568,0.123,-1,0,1500,sunset
1,0.5,2,114,2,1,0,-1,0,1,0,-1,0,0.568,0.111,-1,0,1500,sunset
1,0.6,2,115,2,1,0,-1,0,1,0,-1,0,0.569,0.1,-1,0,1500,sunset
1,0.7,2,115,2,1,0,-1,0,1,0,-1,0,0.569,0.091,-1,0,1500,sunset
1,0.8,2,116,2,1,0,-1,0,1,0,-1,0,0.57,0.083,-1,0,1500,sunset
1,0.9,2,116,2,1,0,-1,0,1,0,-1,0,0.57,0.076,-1,0,1500,sunset
1,1,2,117,2,1,0,-1,0,1,0,-1,0,0.571,0.07,-1,0,1500,sunset
1,1.1,2,117,2,1,0,-1,0,1,0,-1,0,0.571,0.064,-1,0,1500,sunset
1,1.2,2,117,2,1,0,-1,0,1,0,-1,0,0.572,0.059,-1,0,1500,sunset
1,1.3,2,118,2,1,0,-1,0,1,0,-1,0,0.572,0.054,-1,0,1500,sunset
1,1.4,2,118,2,1,0,-1,0,1,0,-1,0,0.572,0.05,-1,0,1500,sunset
1,1.5,2,118,2,1,0,-1,0,1,0,-1,0,0.573,0.046,-1,0,1500,sunset
1,1.6,2,118,3,1,0,-1,0,1,0,-1,0,0.573,0.042,-1,0,1500,sunset
1,1.7,2,118,3,1,0,-1,0,1,0,-1,0,0.573,0.039,-1,0,1500,sunset
1,1.8,2,119,3,1,0,-1,0,1,0,-1,0,0.573,0.036,-1,0,1500,sunset
1,1.9,2,119,3,1,0,-1,0,1,0,-1,0,0.574,0.034,-1,0,1500,sunset
1,2,2,119,3,1,0,-1,0,1,0,-1,0,0.574,0.032,-1,0,1500,sunset
1,2.1,2,119,3,1,0,-1,0,1,0,-1,0,0.574,0.031,-1,0,1500,sunset
1,2.2,2,119,3,1,0,-1,0,1,0,-1,0,0.574,0.03,-1,0,1500,sunset
1,2.3,2,119,3,1,0,-1,0,1,0,-1,0,0.574,0.029,-1,0,1500,sunset
1,2.4,2,119,3,1,0,-1,0,1,0,-1,0,0.575,0.029,-1,0,1500,sunset
1,2.5,1,119,3,1,0,-1,0,1,0,-1,0,0.575,0.028,-1,0,1500,sunset
1,2.6,1,119,3,1,0,-1,0,1,0,-1,0,0.575,0.026,-1,0,1500,sunset
1,2.7,1,119,3,1,0,-1,0,1,0,-1,0,0.575,0.025,-1,0,1500,sunset
1,2.8,1,119,3,1,0,-1,0,1,0,-1,0,0.575,0.024,-1,0,1500,sunset
1,2.9,1,119,3,1,0,-1,0,1,0,-1,0,0.575,0.023,-1,0,1500,sunset
1,3,1,119,3,1,0,-1,0,1,0,-1,0,0.575,0.022,-1,0,1500,sunset
1,3.1,1,119,3,1,0,-1,0,1,0,-1,0,0.576,0.021,-1,0,1500,sunset
1,3.2,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.02,-1,0,1500,sunset
1,3.3,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.019,-1,0,1500,sunset
1,3.4,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.019,-1,0,1500,sunset
1,3.5,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.018,-1,0,1500,sunset
1,3.6,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.018,-1,0,1500,sunset
1,3.7,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.018,-1,0,1500,sunset
1,3.8,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.017,-1,0,1500,sunset
1,3.9,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.017,-1,0,1500,sunset
1,4,1,120,3,1,0,-1,0,1,0,-1,0,0.576,0.017,-1,0,1500,sunset
1,4.1,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.016,-1,0,1500,sunset
1,4.2,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.016,-1,0,1500,sunset
1,4.3,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.016,-1,0,1500,sunset
1,4.4,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.016,-1,0,1500,sunset
1,4.5,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.016,-1,0,1500,sunset
1,4.6,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.016,-1,0,1500,sunset
1,4.7,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.015,-1,0,1500,sunset
1,4.8,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.015,-1,0,1500,sunset
1,4.9,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.015,-1,0,1500,sunset
1,5,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.015,-1,0,1500,sunset
1,5.1,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.015,-1,0,1500,sunset
1,5.2,1,120,3,1,0,-1,0,1,0,-1,0,0.577,0.015,-1,0,1500,sunset
1,5.3,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,5.4,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,5.5,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,5.6,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,5.7,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,5.8,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,5.9,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,6,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,6.1,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,6.2,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,6.3,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,6.4,1,120,3,1,0,-1,0,1,0,-1,0,0.578,0.015,-1,0,1500,sunset
1,6.5,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,6.6,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,6.7,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,6.8,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,6.9,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,7,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,7.1,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,7.2,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,7.3,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,7.4,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,7.5,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,7.6,1,120,3,1,0,-1,0,1,0,-1,0,0.579,0.015,-1,0,1500,sunset
1,7.7,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,7.8,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,7.9,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.1,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.2,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.3,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.4,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.5,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.6,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.7,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.8,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
1,8.9,1,120,3,1,0,-1,0,1,0,-1,0,0.58,0.015,-1,0,1500,sunset
