episode_nr,time,action,velocity,lane,car1_f_dz,car1_f_dv,car1_b_dz,car1_b_dv,car2_f_dz,car2_f_dv,car2_b_dz,car2_b_dv,car3_f_dz,car3_f_dv,car3_b_dz,car3_b_dv,traffic_flow,weather
1,0.1,0,100,2,0.534,0.491,-0.529,0.472,0.386,-0.247,-0.547,-0.249,0.043,-0.204,-0.267,-0.28,3500,mist
1,0.2,1,101,2,0.537,0.444,-0.527,0.426,0.384,-0.298,-0.549,-0.303,0.041,-0.257,-0.269,-0.332,3500,mist
1,0.3,1,103,2,0.539,0.412,-0.525,0.394,0.382,-0.322,-0.55,-0.323,0.04,-0.279,-0.271,-0.355,3500,mist
1,0.4,1,105,2,0.541,0.378,-0.523,0.36,0.38,-0.362,-0.552,-0.367,0.038,-0.32,-0.273,-0.397,3500,mist
1,0.5,1,106,2,0.543,0.344,-0.521,0.326,0.378,-0.397,-0.554,-0.4,0.036,-0.354,-0.275,-0.431,3500,mist
1,0.6,1,108,2,0.545,0.31,-0.519,0.292,0.376,-0.433,-0.557,-0.436,0.034,-0.39,-0.278,-0.467,3500,mist
1,0.7,1,109,2,0.547,0.281,-0.518,0.263,0.373,-0.464,-0.559,-0.467,0.032,-0.42,-0.28,-0.498,3500,mist
1,0.8,1,111,2,0.548,0.255,-0.516,0.236,0.371,-0.491,-0.562,-0.494,0.029,-0.448,-0.283,-0.525,3500,mist
1,0.9,1,112,2,0.549,0.231,-0.515,0.213,0.368,-0.515,-0.565,-0.518,0.027,-0.472,-0.286,-0.549,3500,mist
1,1,1,113,2,0.551,0.211,-0.514,0.193,0.365,-0.536,-0.568,-0.54,0.024,-0.493,-0.289,-0.571,3500,mist
1,1.1,1,113,2,0.552,0.193,-0.513,0.175,0.362,-0.555,-0.571,-0.558,0.021,-0.512,-0.293,-0.59,3500,mist
1,1.2,1,114,2,0.553,0.177,-0.512,0.159,0.359,-0.572,-0.574,-0.575,0.018,-0.529,-0.296,-0.606,3500,mist
1,1.3,1,115,2,0.554,0.163,-0.511,0.144,0.356,-0.587,-0.577,-0.59,0.015,-0.543,-0.299,-0.621,3500,mist
1,1.4,1,115,2,0.555,0.15,-0.51,0.132,0.352,-0.6,-0.581,-0.603,0.012,-0.557,-0.303,-0.634,3500,mist
1,1.5,1,116,2,0.555,0.139,-0.51,0.121,0.349,-0.611,-0.584,-0.615,0.009,-0.568,-0.306,-0.646,3500,mist
1,1.6,1,116,2,0.556,0.129,-0.509,0.111,0.346,-0.621,-0.587,-0.625,0.006,-0.578,-0.31,-0.656,3500,mist
